timestamp,temperature_celsius,precipitation_mm,wind_speed_kmh
2026-05-20T00:00,13.7,0.0,15.8
2026-05-20T01:00,13.2,0.2,14.8
2026-05-20T02:00,13.6,0.0,17.6
2026-05-20T03:00,13.3,0.0,18.4
2026-05-20T04:00,13.3,0.0,19.1
2026-05-20T05:00,13.6,0.0,18.7
2026-05-20T06:00,13.5,0.2,20.9
2026-05-20T07:00,13.5,0.0,16.9
2026-05-20T08:00,13.8,0.0,17.3
2026-05-20T09:00,14.0,0.1,21.2
2026-05-20T10:00,13.6,3.1,19.4
2026-05-20T11:00,13.7,0.1,16.6
2026-05-20T12:00,14.7,0.7,22.0
2026-05-20T13:00,16.2,0.1,23.8
2026-05-20T14:00,16.8,0.0,22.3
2026-05-20T15:00,17.3,0.0,19.8
2026-05-20T16:00,17.8,0.0,26.6
2026-05-20T17:00,18.1,0.0,23.0
2026-05-20T18:00,17.6,0.0,18.7
2026-05-20T19:00,17.3,0.0,16.9
2026-05-20T20:00,16.8,0.0,14.8
2026-05-20T21:00,15.3,0.0,10.4
2026-05-20T22:00,15.4,0.0,13.7
2026-05-20T23:00,15.2,0.0,14.8
2026-05-21T00:00,15.3,0.1,14.8
2026-05-21T01:00,15.0,0.0,16.9
2026-05-21T02:00,14.6,0.0,16.2
2026-05-21T03:00,14.3,0.0,13.7
2026-05-21T04:00,14.2,0.0,13.0
2026-05-21T05:00,13.8,0.0,12.6
2026-05-21T06:00,13.7,0.0,11.2
2026-05-21T07:00,14.3,0.0,11.5
2026-05-21T08:00,15.2,0.0,11.2
2026-05-21T09:00,16.2,0.0,11.2
2026-05-21T10:00,16.9,0.0,12.2
2026-05-21T11:00,17.6,0.0,12.2
2026-05-21T12:00,18.1,0.0,12.2
2026-05-21T13:00,19.3,0.0,11.5
2026-05-21T14:00,20.8,0.0,13.0
2026-05-21T15:00,21.5,0.0,14.4
2026-05-21T16:00,21.4,0.0,16.2
2026-05-21T17:00,20.1,0.0,15.8
2026-05-21T18:00,20.1,0.0,13.0
2026-05-21T19:00,20.1,0.0,11.5
2026-05-21T20:00,20.0,0.0,9.7
2026-05-21T21:00,19.4,0.0,8.6
2026-05-21T22:00,18.9,0.0,7.6
2026-05-21T23:00,18.5,0.0,5.8
